index,quoteTimestamp,bidPrice,bidSize,askPrice,askSize,midPrice
gbpnzd,2024-12-20T16:21:27.653000+00:00,2.22388,1000000.0,2.22505,1000000.0,2.224465
gbpcad,2024-12-20T16:21:27.776000+00:00,1.8065,1000000.0,1.80695,1000000.0,1.806725
gbpusd,2024-12-20T16:21:28.055000+00:00,1.25709,1000000.0,1.25717,1000000.0,1.25713
gbpaud,2024-12-20T16:21:28.229000+00:00,2.01033,1000000.0,2.01078,1000000.0,2.010555
gbphkd,2024-12-20T16:21:27.524000+00:00,9.76985,1000000.0,9.77154,1000000.0,9.770695
gbpjpy,2024-12-20T16:21:27.198000+00:00,196.547,1000000.0,196.578,1000000.0,196.5625
gbpsgd,2024-12-20T16:21:27.955000+00:00,1.70393,1000000.0,1.70497,1000000.0,1.70445
eurgbp,2024-12-20T16:21:27.216000+00:00,0.82861,1000000.0,0.82873,1000000.0,0.82867
eurnzd,2024-12-20T16:21:26.245000+00:00,1.84298,1000000.0,1.84381,1000000.0,1.843395
eurcad,2024-12-20T16:21:27.777000+00:00,1.49696,1000000.0,1.49729,1000000.0,1.497125
eurusd,2024-12-20T16:21:28.195000+00:00,1.04168,1000000.0,1.04177,1000000.0,1.041725
euraud,2024-12-20T16:21:28.374000+00:00,1.66591,1000000.0,1.66617,1000000.0,1.66604
eurhkd,2024-12-20T16:21:27.230000+00:00,8.09628,1000000.0,8.09699,1000000.0,8.096635
eurjpy,2024-12-20T16:21:27.501000+00:00,162.877,1000000.0,162.907,1000000.0,162.892
eursgd,2024-12-20T16:21:26.003000+00:00,1.4121,1000000.0,1.41262,1000000.0,1.41236
nzdcad,2024-12-20T16:21:26.554000+00:00,0.81195,1000000.0,0.81241,1000000.0,0.81218
nzdusd,2024-12-20T16:21:27.434000+00:00,0.56499,1000000.0,0.56527,1000000.0,0.56513
nzdhkd,2024-12-20T16:21:27.667000+00:00,4.3916,1000000.0,4.3931,1000000.0,4.39235
nzdjpy,2024-12-20T16:21:26.985000+00:00,88.354,1000000.0,88.376,1000000.0,88.365
nzdsgd,2024-12-20T16:21:27.072000+00:00,0.76598,1000000.0,0.76648,1000000.0,0.76623
cadusd,2024-12-20T16:21:28.439000+00:00,0.6957489738,1000000.0,0.6958361167,1000000.0,0.6957925452
cadhkd,2024-12-20T16:21:26.009000+00:00,5.407,1000000.0,5.4083,1000000.0,5.40765
cadjpy,2024-12-20T16:21:26.415000+00:00,108.78,1000000.0,108.82,1000000.0,108.8
cadsgd,2024-12-20T16:21:28.619000+00:00,0.94319,1000000.0,0.94355,1000000.0,0.94337
usdcad,2024-12-20T16:21:28.439000+00:00,1.43712,1000000.0,1.4373,1000000.0,1.43721
usdcny,,,,,,
usdhkd,2024-12-20T16:21:26.236000+00:00,7.77207,1000000.0,7.7726,1000000.0,7.772335
usdjpy,2024-12-20T16:21:27.278000+00:00,156.359,1000000.0,156.375,1000000.0,156.367
usdsgd,2024-12-20T16:21:28.619000+00:00,1.35558,1000000.0,1.35605,1000000.0,1.355815
audnzd,2024-12-20T16:21:28.410000+00:00,1.10626,1000000.0,1.10662,1000000.0,1.10644
audcad,2024-12-20T16:21:27.904000+00:00,0.8985,1000000.0,0.8988,1000000.0,0.89865
audusd,2024-12-20T16:21:29.210000+00:00,0.62522,1000000.0,0.62532,1000000.0,0.62527
audhkd,2024-12-20T16:21:28.134000+00:00,4.8591,1000000.0,4.8604,1000000.0,4.85975
audjpy,2024-12-20T16:21:28.901000+00:00,97.761,1000000.0,97.781,1000000.0,97.771
audsgd,2024-12-20T16:21:29.400000+00:00,0.84747,1000000.0,0.84802,1000000.0,0.847745
hkdjpy,,,,,,
jpyusd,2024-12-20T16:21:28.774000+00:00,0.0063948841,1000000.0,0.0063955385,1000000.0,0.0063952113
sgdhkd,2024-12-20T16:21:26.011000+00:00,5.7313,1000000.0,5.734,1000000.0,5.73265
sgdjpy,2024-12-20T16:21:28.823000+00:00,115.304,1000000.0,115.353,1000000.0,115.3285
